influencer_id,revenue,basis,rate,orders,total_payout,ROAS,ROI (%),incremental_revenue,Incremental_ROAS,id,name,category,gender,followers,platform
1,2123.48,order,4.29,30,128.7,16.4994560994561,1549.9456099456102,1962.4952333333333,15.248603211603212,1,Douglas Myers,Lifestyle,Male,898662,YouTube
2,2062.48,post,341.0,6,2046.0,1.0080547409579668,0.8054740957966773,1901.4952333333333,0.9293720593027045,2,Kelly Rivera,Fitness,Male,370663,Twitter
3,2897.12,post,235.0,2,470.0,6.164085106382979,516.4085106382979,2736.1352333333334,5.821564326241135,3,Valerie Jarvis,Fitness,Male,643052,Instagram
4,2044.98,order,1.66,37,61.42,33.29501790947574,3229.5017909475737,1883.9952333333333,30.67396993378921,4,Kevin Spencer,Lifestyle,Female,287370,Twitter
5,3142.39,order,7.88,22,173.36,18.12638440239963,1712.6384402399626,2981.4052333333334,17.19776899707737,5,Leah Gonzalez,Nutrition,Male,856335,Instagram
6,2328.85,post,115.0,3,345.0,6.750289855072464,575.0289855072464,2167.8652333333334,6.2836673429951695,6,Tammy Matthews,Fitness,Female,55561,Instagram
7,1341.87,post,251.0,4,1004.0,1.33652390438247,33.652390438247,1180.8852333333332,1.1761805112881805,7,Dawn Byrd,Fitness,Female,775179,Twitter
8,2865.9900000000002,order,8.15,26,211.9,13.52520056630486,1252.5200566304861,2705.0052333333338,12.765480100676422,8,Glenn May,Fitness,Male,491741,Instagram
9,1783.87,order,7.79,17,132.43,13.470286188929999,1247.028618893,1622.8852333333332,12.254664602683176,9,Stephanie Campbell,Lifestyle,Male,572275,YouTube
10,1392.46,order,5.5,7,38.5,36.16779220779221,3516.779220779221,1231.4752333333333,31.986369696969696,10,Heidi Gomez,Fitness,Female,140889,Instagram
11,3273.37,post,120.0,4,480.0,6.819520833333333,581.9520833333332,3112.3852333333334,6.484135902777778,11,Tara Robinson,Lifestyle,Female,977096,Instagram
12,2579.89,order,8.24,38,313.12,8.239301226366887,723.9301226366888,2418.9052333333334,7.725170009368081,12,Martin Daniel,Lifestyle,Female,406922,Instagram
13,2586.3,order,2.34,37,86.58,29.871794871794876,2887.1794871794878,2425.3152333333337,28.012418957418962,13,Don Price,Lifestyle,Male,92627,YouTube
14,1852.41,post,217.0,7,1519.0,1.2194930875576038,21.949308755760374,1691.4252333333334,1.1135123326750056,14,Willie Murphy,Fitness,Male,588856,YouTube
15,1796.13,order,2.46,44,108.24,16.5939578713969,1559.3957871396897,1635.1452333333334,15.106663279132793,15,Ricardo Anderson,Lifestyle,Female,317419,YouTube
16,3241.11,order,6.34,37,234.58,13.816651035893939,1281.6651035893938,3080.1252333333337,13.13038295393185,16,William Payne,Nutrition,Male,879693,Twitter
17,2043.1,order,7.38,24,177.12,11.535117434507677,1053.5117434507677,1882.1152333333332,10.626215183679614,17,Tracy Kelly,Fitness,Male,669176,YouTube
18,4258.09,order,8.34,28,233.52,18.23436964713943,1723.436964713943,4097.105233333334,17.544986439419894,18,Kimberly Ball,Fitness,Female,658564,Instagram
19,2114.1,order,7.06,31,218.86,9.659599744128666,865.9599744128665,1953.1152333333332,8.924039264065307,19,Kristin Grant,Fitness,Male,938463,YouTube
20,2567.44,order,8.17,49,400.33,6.413309020058453,541.3309020058452,2406.4552333333336,6.011178860773196,20,Walter Davis,Fitness,Female,913565,YouTube
