influencer_id,revenue,basis,rate,orders,total_payout,ROAS,ROI (%),incremental_revenue,Incremental_ROAS,id,name,category,gender,followers,platform
10,1392.46,order,5.5,7,38.5,36.16779220779221,3516.779220779221,1231.4752333333333,31.986369696969696,10,Heidi Gomez,Fitness,Female,140889,Instagram
4,2044.98,order,1.66,37,61.42,33.29501790947574,3229.5017909475737,1883.9952333333333,30.67396993378921,4,Kevin Spencer,Lifestyle,Female,287370,Twitter
13,2586.3,order,2.34,37,86.58,29.871794871794876,2887.1794871794878,2425.3152333333337,28.012418957418962,13,Don Price,Lifestyle,Male,92627,YouTube
18,4258.09,order,8.34,28,233.52,18.23436964713943,1723.436964713943,4097.105233333334,17.544986439419894,18,Kimberly Ball,Fitness,Female,658564,Instagram
5,3142.39,order,7.88,22,173.36,18.12638440239963,1712.6384402399626,2981.4052333333334,17.19776899707737,5,Leah Gonzalez,Nutrition,Male,856335,Instagram
15,1796.13,order,2.46,44,108.24,16.5939578713969,1559.3957871396897,1635.1452333333334,15.106663279132793,15,Ricardo Anderson,Lifestyle,Female,317419,YouTube
1,2123.48,order,4.29,30,128.7,16.4994560994561,1549.9456099456102,1962.4952333333333,15.248603211603212,1,Douglas Myers,Lifestyle,Male,898662,YouTube
16,3241.11,order,6.34,37,234.58,13.816651035893939,1281.6651035893938,3080.1252333333337,13.13038295393185,16,William Payne,Nutrition,Male,879693,Twitter
8,2865.9900000000002,order,8.15,26,211.9,13.52520056630486,1252.5200566304861,2705.0052333333338,12.765480100676422,8,Glenn May,Fitness,Male,491741,Instagram
9,1783.87,order,7.79,17,132.43,13.470286188929999,1247.028618893,1622.8852333333332,12.254664602683176,9,Stephanie Campbell,Lifestyle,Male,572275,YouTube
